manzana,mnz_visit_count,mnz_correct_svy_avg,mnz_day_correct_avg,mnz_duration_patrol_avg,n_patrollers_avg
7600110000000018140938,3.0,1.0,1.0,6.666666507720947,8.333333015441895
7600110000000018140942,4.0,1.0,0.75,8.75,7.5
7600110000000018141017,4.0,1.0,0.75,10.5,7.0
7600110000000018141702,3.0,1.0,0.6666666865348816,4.333333492279053,8.666666984558105
7600110000000018141706,4.0,1.0,0.75,9.25,7.5
7600110000000018150103,5.0,1.0,0.800000011920929,16.0,7.5
7600110000000018150116,4.0,1.0,1.0,15.0,7.5
7600110000000018150120,3.0,1.0,1.0,8.666666984558105,7.666666507720947
7600110000000018150126,3.0,1.0,1.0,4.0,6.0
,43.0,0.0,0.0,12.976744651794434,7.285714149475098
7600110000000020010104,8.0,1.0,0.625,17.375,7.0
7600110000000020010118,4.0,1.0,1.0,10.25,7.0
7600110000000020020101,5.0,1.0,0.6000000238418579,16.0,6.0
7600110000000020020104,6.0,1.0,0.6666666865348816,15.199999809265137,7.5
7600110000000020040102,5.0,1.0,0.800000011920929,8.399999618530273,6.5
7600110000000020040107,5.0,1.0,1.0,8.600000381469727,6.800000190734863
7600110000000020050109,5.0,1.0,0.6000000238418579,10.199999809265137,7.333333492279053
7600110000000020050115,5.0,1.0,0.6000000238418579,7.199999809265137,6.0
7600110000000020050128,6.0,1.0,0.8333333134651184,9.333333015441895,7.0
7600110000000020050130,5.0,1.0,0.800000011920929,12.600000381469727,7.0
7600110000000020050134,6.0,1.0,1.0,6.333333492279053,7.0
7600110000000020050148,6.0,1.0,0.8333333134651184,10.5,7.0
7600110000000020050151,4.0,1.0,0.75,9.5,8.0
7600110000000020050157,5.0,1.0,1.0,7.0,7.0
7600110000000020050158,5.0,1.0,0.6000000238418579,10.199999809265137,7.333333492279053
7600110000000020050201,5.0,1.0,0.6000000238418579,6.800000190734863,7.0
7600110000000020050206,5.0,1.0,0.800000011920929,3.799999952316284,7.5
7600110000000020050210,5.0,1.0,0.6000000238418579,7.400000095367432,7.199999809265137
7600110000000020050212,5.0,1.0,0.6000000238418579,8.199999809265137,7.5
7600110000000020050223,5.0,1.0,0.6000000238418579,6.800000190734863,8.0
7600110000000020050301,3.0,1.0,1.0,9.666666984558105,7.666666507720947
7600110000000020050305,5.0,1.0,0.800000011920929,9.0,7.0
7600110000000020050315,5.0,1.0,0.800000011920929,12.800000190734863,7.599999904632568
7600110000000020050323,5.0,1.0,0.800000011920929,8.0,7.5
7600110000000020050325,6.0,1.0,0.6666666865348816,7.0,8.0
7600110000000020050326,6.0,1.0,0.5,6.166666507720947,7.333333492279053
7600110000000020050327,6.0,1.0,0.6666666865348816,8.5,7.0
7600110000000020060101,5.0,1.0,0.800000011920929,10.800000190734863,7.75
7600110000000020060103,4.0,1.0,1.0,5.75,7.75
7600110000000020060107,5.0,1.0,1.0,14.399999618530273,7.800000190734863
7600110000000020060203,5.0,1.0,0.6000000238418579,7.400000095367432,7.199999809265137
7600110000000020060205,3.0,1.0,0.6666666865348816,24.5,7.666666507720947
7600110000000020060328,5.0,1.0,0.800000011920929,8.0,6.25
7600110000000020060335,5.0,1.0,0.6000000238418579,15.399999618530273,7.400000095367432
7600110000000020060338,4.0,1.0,0.75,15.0,7.666666507720947
7600110000000020060410,6.0,1.0,0.6666666865348816,10.5,7.75
7600110000000020060424,4.0,1.0,0.75,7.0,6.666666507720947
7600110000000020060426,5.0,1.0,0.800000011920929,8.600000381469727,7.25
7600110000000020070108,5.0,1.0,0.800000011920929,6.0,7.25
7600110000000020070109,5.0,1.0,0.6000000238418579,13.600000381469727,7.5
7600110000000020070117,5.0,1.0,0.800000011920929,8.800000190734863,7.0
7600110000000020070205,5.0,1.0,1.0,9.600000381469727,7.599999904632568
7600110000000020070215,5.0,1.0,0.6000000238418579,11.600000381469727,7.199999809265137
7600110000000020070307,5.0,1.0,0.800000011920929,11.0,6.75
7600110000000020070311,4.0,1.0,0.75,16.25,7.75
7600110000000020080102,5.0,1.0,0.800000011920929,14.399999618530273,7.0
7600110000000020080105,5.0,1.0,0.800000011920929,17.200000762939453,8.0
