barrio_num,manzana,barrio,manzana_25m1,manzana_25m2,manzana_25m3,manzana_25m4,manzana_25m5,manzana_25m6,manzana_25m7,manzana_25m8,manzana_25m9,manzana_25m10,manzana_25m11,manzana_25m12,manzana_25m13,manzana_25m14,manzana_25m15,manzana_25m16,manzana_25m17,manzana_25m18,manzana_25m19,manzana_25m20,manzana_25m21,manzana_25m22,manzana_25m23,manzana_25m24,manzana_25m25,manzana_25m26,manzana_25m27,manzana_25m28,manzana_25m29,manzana_25m30,manzana_25m31,manzana_25m32,manzana_25m33,manzana_25m34,manzana_25m35,manzana_25m36,manzana_25m37,manzana_25m38,manzana_25m39,manzana_25m40,manzana_25m41,manzana_25m42,manzana_25m43,manzana_25m44,manzana_25m45
13,7600110000000018140123,Alto Nápoles,7600110000000018130117,7600110000000018140106,7600110000000018140104,7600110000000018130104,7600110000000018140112,7600110000000018140103,7600110000000018140134,7600110000000018140105,7600110000000018130115,7600110000000018140101,7600110000000018130105,7600110000000018140107,7600110000000018130116,7600110000000018140129,7600110000000018140113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,7600110000000018140127,Alto Nápoles,7600110000000018140132,7600110000000018140133,7600110000000018140117,7600110000000018140208,7600110000000018140222,7600110000000018020340,7600110000000018020301,7600110000000018140118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,7600110000000018140128,Prados del Sur,7600110000000018140114,7600110000000018140113,7600110000000018140129,7600110000000018140111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,7600110000000018140129,Prados del Sur,7600110000000018140119,7600110000000018140114,7600110000000018140113,7600110000000018130115,7600110000000018140128,7600110000000018150124,7600110000000018140123,7600110000000018130201,7600110000000018140118,7600110000000018140112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,7600110000000018140130,Alto Nápoles,7600110000000018140111,7600110000000018140131,7600110000000018140109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,7600110000000018140131,Alto Nápoles,7600110000000018140109,7600110000000018140111,7600110000000018140130,7600110000000018020301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,7600110000000018140132,Alto Nápoles,7600110000000018140133,7600110000000018140127,7600110000000018140136,7600110000000018020301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,7600110000000018140133,Alto Nápoles,7600110000000018140132,7600110000000018140127,7600110000000018140117,7600110000000018140136,7600110000000018140111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,7600110000000018140134,Alto Nápoles,7600110000000018140104,7600110000000018140135,7600110000000018060102,7600110000000018060101,7600110000000018140123,7600110000000018070104,7600110000000018140101,7600110000000018060103,7600110000000018060112,7600110000000018140103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,7600110000000018140135,Nápoles,7600110000000018140104,7600110000000018140134,7600110000000018060101,7600110000000018070104,7600110000000018070101,7600110000000018070103,7600110000000018020301,7600110000000018070102,7600110000000018060112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
