manzana,prior_homicides_num,prior_robberies_num,prior_drugdeal_num,prior_wbearing_num,prior_unw_crime2_num,iweight,number_buildings_sampling,area,bat_min,cai_min,ptr_min,barrio_code,control,treat,spillover
7600110000000020100215,0.0,0.0,1.0,0.0,1.0,1.3309671878814697,44.0,3109.945068359375,4910.83713214846,2528.4286172085,734.200052965034,28,0.0,0.0,1.0
7600110000000020100217,1.0,4.0,1.0,0.0,6.0,11.029411315917969,13.0,1164.7259521484375,4730.58775765768,2604.53051371617,750.186939723168,28,0.0,1.0,0.0
7600110000000020100219,0.0,0.0,0.0,0.0,0.0,3.3557045459747314,13.0,1877.311767578125,4646.20636869686,2763.06946982816,545.027298767275,28,1.0,0.0,0.0
7600110000000020100220,1.0,0.0,0.0,0.0,1.0,1.3089004755020142,17.0,6122.6328125,4584.10706076344,2810.60835521889,526.283593669497,28,0.0,0.0,1.0
7600110000000020100221,0.0,1.0,0.0,0.0,1.0,1.6357688903808594,12.0,663.5536499023438,4516.96633870985,2842.32099215671,559.261741938702,28,0.0,0.0,1.0
7600110000000020100222,0.0,0.0,0.0,0.0,0.0,1.4880952835083008,10.0,749.2628784179688,4913.36885613391,2515.40848723911,749.590438649738,28,0.0,0.0,1.0
7600110000000020100223,0.0,0.0,0.0,0.0,0.0,11.811023712158203,5.0,291.8563232421875,4553.45943457162,2818.04842489103,553.464792512058,28,0.0,1.0,0.0
7600110000000020100224,0.0,0.0,0.0,0.0,0.0,1.7462166547775269,7.0,828.4096069335938,4562.71252998031,2814.17348448787,547.904150336535,28,0.0,0.0,1.0
7600110000000020100225,0.0,0.0,0.0,0.0,0.0,1.4970060586929321,7.0,454.4132385253906,4527.16732318199,2853.86430694478,517.526275625254,28,0.0,0.0,1.0
7600110000000020100226,0.0,0.0,0.0,0.0,0.0,1.491053581237793,7.0,549.390625,4524.07166376294,2848.74900720588,533.2550367657,28,0.0,0.0,1.0
7600110000000020110102,3.0,1.0,0.0,1.0,5.0,1.628664493560791,11.0,1716.026123046875,4609.51100271636,3033.71949463767,250.132350726908,28,0.0,0.0,1.0
7600110000000020110105,0.0,0.0,0.0,0.0,0.0,4.297994136810303,26.0,3225.184814453125,4551.18245099514,3026.98244669713,231.081259290723,28,1.0,0.0,0.0
7600110000000020110111,0.0,2.0,0.0,0.0,2.0,2.3584907054901123,8.0,656.5475463867188,4441.24848816273,3023.96076935912,302.674625933802,28,1.0,0.0,0.0
7600110000000020110112,0.0,1.0,0.0,0.0,1.0,1.6322089433670044,19.0,1424.1663818359375,4398.50488714548,3050.25765610254,312.768916558843,28,0.0,0.0,1.0
7600110000000020110116,0.0,0.0,0.0,1.0,1.0,1.7605633735656738,14.0,3087.475341796875,4533.42974268575,2890.34866817305,436.890301819569,28,0.0,0.0,1.0
7600110000000020110117,0.0,0.0,0.0,0.0,0.0,1.3661202192306519,32.0,7867.015625,4535.81070338016,3001.38630942922,260.685988766369,28,0.0,0.0,1.0
7600110000000020110119,0.0,0.0,0.0,0.0,0.0,1.378676414489746,21.0,3315.765625,4628.68069553146,3001.67402578826,279.115108522063,28,0.0,0.0,1.0
7600110000000020110122,0.0,0.0,0.0,0.0,0.0,1.403180480003357,8.0,4036.27001953125,4593.00309125393,3027.75042285105,245.542750215318,28,0.0,0.0,1.0
7600110000000020110123,0.0,0.0,0.0,0.0,0.0,1.311188817024231,18.0,13374.984375,4473.90641763999,3011.28577009396,287.820622101478,28,0.0,0.0,1.0
7600110000000020110124,0.0,2.0,0.0,0.0,2.0,3.529411792755127,24.0,2829.81298828125,4508.2434108262,2940.52966826171,374.448980133656,28,1.0,0.0,0.0
7600110000000020110125,0.0,0.0,0.0,0.0,0.0,2.0188424587249756,15.0,1462.888427734375,4580.20321859017,2988.69376899814,269.154735601826,28,0.0,0.0,1.0
7600110000000020110126,1.0,0.0,0.0,0.0,1.0,1.7772512435913086,,315.3763122558594,4464.17472090371,3097.6628796834,164.195296943008,28,0.0,0.0,1.0
7600110000000020110130,0.0,0.0,0.0,0.0,0.0,1.6556291580200195,30.0,3071.685302734375,4430.77950865544,3007.35232751698,348.597616466746,28,0.0,0.0,1.0
7600110000000020110131,0.0,2.0,0.0,0.0,2.0,1.7942583560943604,15.0,1867.9871826171875,4476.72160553172,2947.48592061367,400.638575115772,28,0.0,0.0,1.0
7600110000000020110132,0.0,1.0,0.0,0.0,1.0,1.8181817531585693,9.0,480.6410217285156,4557.20512453527,2890.01228835722,412.08636857702,28,0.0,0.0,1.0
7600110000000020110133,0.0,0.0,0.0,0.0,0.0,12.711864471435547,,207.732177734375,4593.72498176025,2939.91379388624,319.458895150947,28,0.0,1.0,0.0
7600110000000020110134,0.0,0.0,0.0,0.0,0.0,2.2831051349639893,13.0,1766.4945068359375,4533.97508439181,2972.78905474133,300.186830025826,28,0.0,0.0,1.0
7600110000000020110135,0.0,0.0,0.0,0.0,0.0,12.295082092285156,11.0,1547.3858642578125,4568.1909450069,3075.22680505302,208.66449297889,28,0.0,1.0,0.0
7600110000000020110203,1.0,0.0,0.0,0.0,1.0,1.452081322669983,24.0,2913.85498046875,4735.86631030766,2896.42986412325,391.944395404525,28,0.0,0.0,1.0
7600110000000020110205,0.0,0.0,0.0,1.0,1.0,1.7647058963775635,9.0,1527.826416015625,4693.04960857746,2945.78261022907,343.982217445357,28,0.0,0.0,1.0
7600110000000020110207,0.0,0.0,0.0,1.0,1.0,1.5673980712890625,12.0,1805.9779052734375,4663.75018039899,2945.91448943926,326.403277163383,28,0.0,0.0,1.0
7600110000000020110208,0.0,0.0,0.0,0.0,0.0,1.822600245475769,8.0,1121.204833984375,4697.80068916467,2905.28059987186,366.280343658763,28,0.0,0.0,1.0
7600110000000020110209,0.0,0.0,0.0,0.0,0.0,1.3748854398727417,22.0,2891.9794921875,4671.20216901213,2895.54283314591,364.312286837871,28,0.0,0.0,1.0
7600110000000020110210,0.0,1.0,0.0,0.0,1.0,10.791367530822754,19.0,2099.07568359375,4631.68090244933,2944.5886601025,315.580939982062,28,0.0,1.0,0.0
7600110000000020110212,1.0,1.0,0.0,0.0,2.0,13.636363983154297,16.0,2105.89404296875,4628.35082228347,2870.52298567508,394.438313080849,28,0.0,1.0,0.0
7600110000000020110214,0.0,0.0,0.0,0.0,0.0,13.274335861206055,18.0,1551.1494140625,4605.38527949443,2860.46414754189,420.483455073469,28,0.0,1.0,0.0
7600110000000020110215,0.0,1.0,0.0,0.0,1.0,1.3100436925888062,25.0,6246.67138671875,4602.07173417151,2905.94921554442,358.574047327776,28,0.0,0.0,1.0
7600110000000020110216,0.0,2.0,0.0,0.0,2.0,1.5706806182861328,20.0,3488.274169921875,4590.70176902896,2843.29955150517,459.821779019501,28,0.0,0.0,1.0
7600110000000020110217,0.0,0.0,0.0,0.0,0.0,1.7482516765594482,14.0,1638.5587158203125,4658.57918456711,2985.8965006086,302.69135126913,28,0.0,0.0,1.0
7600110000000020110218,1.0,0.0,0.0,0.0,1.0,10.344827651977539,18.0,1853.36865234375,4710.12065890269,2934.4611053445,353.956312462176,28,0.0,1.0,0.0
7600110000000020110219,1.0,0.0,0.0,0.0,1.0,12.5,42.0,6172.48876953125,4686.75901888725,2956.55922749028,301.334092558451,28,0.0,1.0,0.0
7600110000000020110220,0.0,0.0,0.0,0.0,0.0,11.27819538116455,30.0,9080.201171875,4783.51406258085,2859.93064818864,340.438597474932,15,0.0,1.0,0.0
7600110000000020110301,0.0,0.0,0.0,0.0,0.0,12.711864471435547,14.0,1885.4603271484375,4687.96083187294,2851.9032211814,405.729322671303,28,0.0,1.0,0.0
7600110000000020110302,0.0,0.0,0.0,0.0,0.0,1.7261220216751099,34.0,4005.799560546875,4673.88224916941,2826.96974553401,434.438729750171,28,0.0,0.0,1.0
7600110000000020110303,0.0,0.0,0.0,0.0,0.0,1.442307710647583,21.0,2941.972412109375,4668.14111497034,2800.72500496766,470.508704864654,28,0.0,0.0,1.0
7600110000000020110304,0.0,0.0,0.0,0.0,0.0,1.5337423086166382,23.0,2396.17724609375,4637.43763265689,2800.7200378913,489.925952256509,28,0.0,0.0,1.0
7600110000000020110305,0.0,0.0,0.0,0.0,0.0,2.013422727584839,10.0,974.0177001953125,4677.84574208833,2769.19741312282,510.241127479938,28,0.0,0.0,1.0
7600110000000020110307,0.0,0.0,0.0,0.0,0.0,1.5400409698486328,13.0,3639.7021484375,4723.25681660657,2799.06709454954,458.553727896834,28,0.0,0.0,1.0
7600110000000020110310,0.0,0.0,0.0,0.0,0.0,1.4851484298706055,19.0,3050.506591796875,4778.6718944218,2662.14419276858,608.701549318514,28,0.0,0.0,1.0
7600110000000020110311,0.0,2.0,0.0,0.0,2.0,11.904762268066406,12.0,1004.1127319335938,4829.58145752448,2605.13673551913,663.608132783487,28,0.0,1.0,0.0
7600110000000020110312,0.0,0.0,0.0,0.0,0.0,1.937984585762024,15.0,1688.86865234375,4831.60079473758,2620.20554734429,643.539197743838,28,0.0,0.0,1.0
7600110000000020110314,0.0,0.0,0.0,0.0,0.0,2.5252525806427,16.0,1740.2388916015625,4883.71226015628,2623.06377245019,634.911606864668,28,1.0,0.0,0.0
7600110000000020110319,1.0,0.0,0.0,0.0,1.0,1.3686132431030273,16.0,3871.433837890625,4912.45282602835,2585.72443518906,672.095786310781,28,0.0,0.0,1.0
7600110000000020110320,0.0,0.0,0.0,0.0,0.0,1.3736263513565063,50.0,5692.333984375,4826.84432223989,2661.58891220854,596.573826206931,28,0.0,0.0,1.0
7600110000000020110321,0.0,0.0,0.0,0.0,0.0,1.4150943756103516,14.0,1947.72265625,4967.15729989251,2542.89228084888,716.928242912392,28,0.0,0.0,1.0
7600110000000020110322,0.0,0.0,0.0,0.0,0.0,8.771929740905762,8.0,3773.750244140625,5002.86619084154,2538.23012319587,729.034066009794,28,1.0,0.0,0.0
7600110000000020110323,0.0,0.0,0.0,0.0,0.0,1.3661202192306519,25.0,3469.44921875,4892.1888359057,2571.51373475895,687.692954331085,28,0.0,0.0,1.0
7600110000000020110324,0.0,0.0,0.0,0.0,0.0,1.6556291580200195,12.0,2496.4638671875,4736.61816083752,2707.77038914954,565.783981017564,28,0.0,0.0,1.0
7600110000000020110325,0.0,0.0,0.0,0.0,0.0,1.56412935256958,19.0,4711.30712890625,4764.15086697089,2756.28783515567,501.29107962905,28,0.0,0.0,1.0
7600110000000020110326,0.0,1.0,0.0,0.0,1.0,1.9815058708190918,8.0,633.101318359375,4729.36207509294,2837.96338768451,424.13083426334,28,0.0,0.0,1.0
7600110000000020110327,0.0,0.0,0.0,0.0,0.0,1.6835017204284668,9.0,401.28826904296875,4976.62976134423,2516.09271795996,742.134028102585,28,0.0,0.0,1.0
7600110000000020110328,0.0,0.0,0.0,0.0,0.0,12.5,7.0,461.8008117675781,4934.7622700943,2538.10251523442,719.663633525414,28,0.0,1.0,0.0
7600110000000020110329,0.0,1.0,0.0,0.0,1.0,13.1578950881958,9.0,2946.52734375,4737.37818287024,2736.55665462688,527.282151620961,28,0.0,1.0,0.0
